Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1601,JLPT0,図書室,としょしつ,library,Noun,図書室で勉強した。,としょしつ で べんきょう した,I studied at the library.
1602,JLPT0,入場券,にゅうじょうけん,entrance ticket,Noun,入場券は3000円です。,にゅうじょうけん は さんぜんえん です,"The admission ticket is 3,000 yen."
1603,JLPT2,ネックレス,ネックレス,necklace,Noun,妻にネックレスをプレゼントしました。,つま に ねっくれす を ぷれぜんと しました,I gave my wife a necklace.
1604,JLPT1,パジャマ,パジャマ,pajamas,Noun,このパジャマを着て。,この ぱじゃま を きて,Put on these pajamas.
1605,JLPT4,ボールペン,ボールペン,ballpoint pen,Noun,ボールペンで名前を書いてください。,ぼーるぺん で なまえ を かいて ください,Please write your name with a ballpoint pen.
1606,JLPT4,万年筆,まんねんひつ,fountain pen,Noun,父に万年筆をプレゼントしました。,ちち に まんねんひつ を ぷれぜんと しました,I gave my father a fountain pen.
1607,JLPT0,柔らか,やわらか,"soft, tender, gentle",Adjectival Noun,彼の声は柔らかだ。,かれ の こえ は やわらか だ,His voice is gentle.
1608,JLPT2,覚ます,さます,"awaken, wake up",Verb,子供が目を覚ました。,こども が め を さました,The child woke up.
1609,JLPT0,すいか,すいか,watermelon,Noun,夏はすいかが美味しい。,なつ は すいか が おいしい,Watermelon is delicious in summer.
1610,JLPT4,そちら,そちら,"there, that way",Noun,夕方そちらに着きます。,ゆうがた そちら に つきます,I'll arrive there in the evening.
1611,JLPT4,そば,そば,"buckwheat noodles, soba",Noun,お昼にそばを食べた。,おひる に そば を たべた,I ate buckwheat noodles for lunch.
1612,JLPT2,大抵,たいてい,"generally, mostly",Adverb,朝食は大抵7時頃に食べます。,ちょうしょく は たいてい しちじごろ に たべます,I usually eat breakfast around seven o'clock.
1613,JLPT3,特急,とっきゅう,super-express,Noun,東京まで特急で3時間かかります。,とうきょう まで とっきゅう で さんじかん かかります,It takes three hours to Tokyo by special express.
1614,JLPT3,どっち,どっち,which,Noun,どっちの色が好きですか。,どっち の いろ が すき です か 。,Which color do you like?
